======================================================================
  FLIP-DISTRIBUTION SWEEP: 300 seeds x 10 coin-flip trials = 3000 games (rust/rayon)
  (seeds 0-299, go-off p>=0.95)
  seed 174  win 100% over 10 flips   median 12.0  (best 12, worst 13)
  seed 175  win 100% over 10 flips   median  6.0  (best 6, worst 8)
  seed 176  win 100% over 10 flips   median  5.0  (best 4, worst 8)
  seed 177  win 100% over 10 flips   median  7.5  (best 3, worst 12)
  seed 178  win 100% over 10 flips   median  8.0  (best 6, worst 8)
  seed 179  win 100% over 10 flips   median 11.0  (best 10, worst 12)
  seed 180  win 100% over 10 flips   median  6.0  (best 6, worst 8)
  seed 181  win 100% over 10 flips   median  9.5  (best 8, worst 14)
  seed 182  win 100% over 10 flips   median  7.0  (best 7, worst 11)
  seed 183  win 100% over 10 flips   median 12.0  (best 5, worst 18)
  seed 184  win 100% over 10 flips   median 11.5  (best 9, worst 14)
  seed 185  win 100% over 10 flips   median  6.0  (best 6, worst 7)
  seed 186  win 100% over 10 flips   median  6.0  (best 6, worst 8)
  seed 187  win 100% over 10 flips   median  9.0  (best 5, worst 12)
  seed 188  win 100% over 10 flips   median  8.0  (best 7, worst 11)
  seed 189  win 100% over 10 flips   median 10.0  (best 9, worst 11)
  seed 190  win 100% over 10 flips   median 11.5  (best 10, worst 14)
  seed 191  win 100% over 10 flips   median  7.0  (best 7, worst 8)
  seed 192  win  70% over 10 flips   median  4.0  (best 4, worst 14)
  seed 193  win 100% over 10 flips   median  6.0  (best 5, worst 6)
  seed 194  win 100% over 10 flips   median  7.0  (best 7, worst 7)
  seed 195  win 100% over 10 flips   median  7.0  (best 5, worst 12)
  seed 196  win 100% over 10 flips   median  7.0  (best 6, worst 12)
  seed 197  win 100% over 10 flips   median  7.0  (best 6, worst 9)
  seed 198  win 100% over 10 flips   median  6.5  (best 5, worst 10)
  seed 199  win 100% over 10 flips   median  6.0  (best 6, worst 11)
  seed 200  win 100% over 10 flips   median  6.0  (best 6, worst 7)
  seed 201  win 100% over 10 flips   median  9.0  (best 8, worst 10)
  seed 202  win 100% over 10 flips   median  9.0  (best 9, worst 9)
