======================================================================
  FLIP-DISTRIBUTION SWEEP: 200 seeds x 10 coin-flip trials = 2000 games (rust/rayon)
  (seeds 0-199, go-off p>=0.95)
  seed 173  win 100% over 10 flips   median  6.0  (best 6, worst 7)
  seed 174  win 100% over 10 flips   median 12.0  (best 12, worst 13)
  seed 175  win 100% over 10 flips   median  6.0  (best 6, worst 7)
  seed 176  win 100% over 10 flips   median  6.0  (best 5, worst 7)
  seed 177  win 100% over 10 flips   median  8.5  (best 5, worst 13)
  seed 178  win 100% over 10 flips   median  8.0  (best 7, worst 9)
  seed 179  win 100% over 10 flips   median 11.0  (best 11, worst 12)
  seed 180  win 100% over 10 flips   median  7.0  (best 6, worst 9)
  seed 181  win  90% over 10 flips   median 10.0  (best 7, worst 12)
  seed 182  win 100% over 10 flips   median  9.0  (best 7, worst 10)
  seed 183  win 100% over 10 flips   median  8.0  (best 5, worst 11)
  seed 184  win 100% over 10 flips   median 11.5  (best 9, worst 17)
  seed 185  win 100% over 10 flips   median  6.0  (best 6, worst 7)
  seed 186  win 100% over 10 flips   median  6.0  (best 6, worst 7)
  seed 187  win 100% over 10 flips   median 10.5  (best 8, worst 13)
  seed 188  win 100% over 10 flips   median  8.0  (best 7, worst 10)
  seed 189  win 100% over 10 flips   median 10.0  (best 9, worst 11)
  seed 190  win 100% over 10 flips   median 11.5  (best 7, worst 14)
  seed 191  win 100% over 10 flips   median  7.0  (best 7, worst 7)
  seed 192  win  90% over 10 flips   median  4.0  (best 4, worst 10)
  seed 193  win 100% over 10 flips   median  6.0  (best 4, worst 7)
  seed 194  win 100% over 10 flips   median  7.0  (best 6, worst 7)
  seed 195  win 100% over 10 flips   median  7.0  (best 5, worst 11)
  seed 196  win 100% over 10 flips   median  7.0  (best 6, worst 8)
  seed 197  win 100% over 10 flips   median  8.0  (best 6, worst 8)
  seed 198  win 100% over 10 flips   median  6.0  (best 5, worst 7)
  seed 199  win 100% over 10 flips   median  6.0  (best 6, worst 12)
  ------------------------------------------------------------------
  mean per-seed P(win) 99.4%   overall 1988/2000 (99%) winning trials
  win-turn over all winning trials: mean 8.37  median 8  best 3  worst 18
  P10 5  P25 6  P50 8  P75 10  P90 13
  110.7s total, 0.055s/game
